========== State after 64 simulations ==========
@[R1[4](78)] ==> [R1[4](78)] -log10(p) = 6.725810 --> LEAKAGE
@[R1[2](71)] ==> [R1[2](71)] -log10(p) = 6.725810 --> LEAKAGE
@[R14[4](75)] ==> [R14[4](75)] -log10(p) = 6.725810 --> LEAKAGE
@[R1[4](71)] ==> [R1[4](71)] -log10(p) = 6.725810 --> LEAKAGE
@[R12[0](79)] ==> [R12[0](79)] -log10(p) = 6.725810 --> LEAKAGE
@[R12[1](79)] ==> [R12[1](79)] -log10(p) = 6.725810 --> LEAKAGE
@[R1[5](74)] ==> [R1[5](74)] -log10(p) = 6.725810 --> LEAKAGE
@[R1[2](78)] ==> [R1[2](78)] -log10(p) = 6.725810 --> LEAKAGE
@[R12[6](79)] ==> [R12[6](79)] -log10(p) = 6.725810 --> LEAKAGE
@[R14[2](75)] ==> [R14[2](75)] -log10(p) = 6.725810 --> LEAKAGE

========== State after 128 simulations ==========
@[R8[2](1273)] ==> [R8[2](1273)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](1337)] ==> [R8[2](1337)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](263)] ==> [R8[2](263)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](1810)] ==> [R8[2](1810)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](1935)] ==> [R8[2](1935)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](155)] ==> [R8[2](155)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](736)] ==> [R8[2](736)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](1874)] ==> [R8[2](1874)] -log10(p) = 18.669370 --> LEAKAGE
@[R8[2](800)] ==> [R8[2](800)] -log10(p) = 18.669370 --> LEAKAGE
@[R1[5](71)] ==> [R1[5](71)] -log10(p) = 19.405794 --> LEAKAGE

========== State after 192 simulations ==========
@[R1[4](74)] ==> [R1[4](74)] -log10(p) = 25.170374 --> LEAKAGE
@[R1[1](50122)] ==> [R1[1](50122)] -log10(p) = 25.170374 --> LEAKAGE
@[R1[0](50366)] ==> [R1[0](50366)] -log10(p) = 25.170374 --> LEAKAGE
@[R3[17](51737)] ==> [R3[17](51737)] -log10(p) = 25.170374 --> LEAKAGE
@[R1[3](85)] ==> [R1[3](85)] -log10(p) = 25.789022 --> LEAKAGE
@[R3[4](51749)] ==> [R3[4](51749)] -log10(p) = 26.417618 --> LEAKAGE
@[R1[4](50000)] ==> [R1[4](50000)] -log10(p) = 26.417618 --> LEAKAGE
@[R1[6](156)] ==> [R1[6](156)] -log10(p) = 26.417618 --> LEAKAGE
@[R3[4](51736)] ==> [R3[4](51736)] -log10(p) = 26.417618 --> LEAKAGE
@[R3[12](51737)] ==> [R3[12](51737)] -log10(p) = 26.417618 --> LEAKAGE

========== State after 256 simulations ==========
@[R1[1](78)] ==> [R1[1](78)] -log10(p) = 31.362893 --> LEAKAGE
@[R1[7](71)] ==> [R1[7](71)] -log10(p) = 31.362893 --> LEAKAGE
@[R1[3](85)] ==> [R1[3](85)] -log10(p) = 32.570788 --> LEAKAGE
@[R7[5](86)] ==> [R7[5](86)] -log10(p) = 32.570788 --> LEAKAGE
@[R1[5](107)] ==> [R1[5](107)] -log10(p) = 32.570788 --> LEAKAGE
@[R1[4](50000)] ==> [R1[4](50000)] -log10(p) = 33.185255 --> LEAKAGE
@[R3[4](51736)] ==> [R3[4](51736)] -log10(p) = 33.185255 --> LEAKAGE
@[R3[12](51737)] ==> [R3[12](51737)] -log10(p) = 33.185255 --> LEAKAGE
@[R3[4](51749)] ==> [R3[4](51749)] -log10(p) = 33.185255 --> LEAKAGE
@[R1[6](156)] ==> [R1[6](156)] -log10(p) = 33.806997 --> LEAKAGE

========== State after 320 simulations ==========
@[R8[2](736)] ==> [R8[2](736)] -log10(p) = 38.981113 --> LEAKAGE
@[R8[2](1273)] ==> [R8[2](1273)] -log10(p) = 38.981113 --> LEAKAGE
@[R8[2](800)] ==> [R8[2](800)] -log10(p) = 38.981113 --> LEAKAGE
@[R10[5](90)] ==> [R10[5](90)] -log10(p) = 38.981113 --> LEAKAGE
@[R8[2](1337)] ==> [R8[2](1337)] -log10(p) = 38.981113 --> LEAKAGE
@[R8[2](155)] ==> [R8[2](155)] -log10(p) = 38.981113 --> LEAKAGE
@[R8[2](263)] ==> [R8[2](263)] -log10(p) = 38.981113 --> LEAKAGE
@[R1[2](74)] ==> [R1[2](74)] -log10(p) = 40.162404 --> LEAKAGE
@[R1[3](85)] ==> [R1[3](85)] -log10(p) = 40.162404 --> LEAKAGE
@[R1[6](156)] ==> [R1[6](156)] -log10(p) = 41.365547 --> LEAKAGE

========== State after 384 simulations ==========
@[R8[7](263)] ==> [R8[7](263)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](155)] ==> [R8[7](155)] -log10(p) = 45.606787 --> LEAKAGE
@[R1[3](85)] ==> [R1[3](85)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](800)] ==> [R8[7](800)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](1273)] ==> [R8[7](1273)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](1337)] ==> [R8[7](1337)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](736)] ==> [R8[7](736)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](1810)] ==> [R8[7](1810)] -log10(p) = 45.606787 --> LEAKAGE
@[R8[7](1874)] ==> [R8[7](1874)] -log10(p) = 45.606787 --> LEAKAGE
@[R10[5](90)] ==> [R10[5](90)] -log10(p) = 47.947126 --> LEAKAGE

========== State after 448 simulations ==========
@[R8[2](263)] ==> [R8[2](263)] -log10(p) = 51.140412 --> LEAKAGE
@[R8[2](155)] ==> [R8[2](155)] -log10(p) = 51.140412 --> LEAKAGE
@[R1[6](156)] ==> [R1[6](156)] -log10(p) = 51.697912 --> LEAKAGE
@[R1[2](51708)] ==> [R1[2](51708)] -log10(p) = 52.258849 --> LEAKAGE
@[R1[0](74)] ==> [R1[0](74)] -log10(p) = 52.258849 --> LEAKAGE
